Date,18-34,35-54,55+
1995-06-30,104.3,91.8,84.6
1995-05-31,98.7,89.4,82.0
1995-04-30,104.3,91.0,82.0
1995-03-31,93.8,95.6,81.2
1995-02-28,103.5,97.8,84.1
1995-01-31,106.2,98.8,88.2
1994-12-31,100.4,97.3,87.3
1994-11-30,102.8,91.2,80.7
1994-10-31,99.9,91.5,86.9
1994-09-30,96.7,94.1,83.6
1994-08-31,97.0,91.8,86.6
1994-07-31,96.9,88.6,83.3
1994-06-30,98.7,90.8,84.2
1994-05-31,102.0,93.4,83.6
1994-04-30,98.6,92.8,87.9
1994-03-31,100.4,88.6,87.5
1994-02-28,100.1,95.0,83.3
1994-01-31,99.5,92.4,90.8
1993-12-31,98.9,83.4,81.5
1993-11-30,88.8,79.1,75.3
1993-10-31,92.8,81.6,73.8
1993-09-30,85.3,77.3,71.4
1993-08-31,89.1,76.3,68.3
1993-07-31,87.8,72.9,70.7
1993-06-30,92.5,76.7,72.7
1993-05-31,87.9,77.4,75.3
1993-04-30,95.1,84.8,77.2
1993-03-31,90.5,84.2,82.7
1993-02-28,97.2,87.0,75.2
1993-01-31,93.8,89.7,85.0
1992-12-31,97.3,86.6,88.4
1992-11-30,94.3,83.5,76.6
1992-10-31,81.4,69.4,68.6
1992-09-30,85.9,75.7,65.5
1992-08-31,83.7,73.2,70.7
1992-07-31,83.5,73.0,73.6
1992-06-30,88.9,80.8,71.4
1992-05-31,89.5,76.6,70.7
1992-04-30,85.4,76.9,66.8
1992-03-31,87.9,74.1,66.3
1992-02-29,77.5,64.1,63.8
1992-01-31,72.5,64.8,64.2
1991-12-31,78.9,65.2,60.5
1991-11-30,80.5,62.9,63.2
1991-10-31,88.3,73.2,72.7
1991-09-30,92.1,83.7,73.2
1991-08-31,89.4,80.4,74.8
1991-07-31,85.8,83.8,79.4
1991-06-30,92.1,80.8,73.4
1991-05-31,89.4,73.9,72.1
1991-04-30,91.1,81.3,74.1
1991-03-31,96.0,84.6,80.7
1991-02-28,74.9,69.6,65.7
1991-01-31,75.9,63.4,61.1
1990-12-31,71.8,66.0,59.4
1990-11-30,72.5,64.0,61.3
1990-10-31,72.1,64.4,56.3
1990-09-30,80.8,70.1,66.9
1990-08-31,83.9,80.4,64.5
1990-07-31,95.1,89.4,79.2
1990-06-30,99.5,85.8,79.2
1990-05-31,102.6,91.6,77.9
1990-04-30,102.8,96.0,83.6
1990-03-31,101.7,91.4,81.1
1990-02-28,104.9,88.2,74.7
1990-01-31,101.4,99.5,78.3
1989-12-31,99.3,90.3,80.4
1989-11-30,102.2,88.6,79.3
1989-10-31,107.3,90.5,83.9
1989-09-30,107.1,96.2,84.9
1989-08-31,105.7,88.9,76.1
1989-07-31,101.9,95.8,78.0
1989-06-30,100.0,90.4,81.1
1989-05-31,102.2,86.9,81.9
1989-04-30,101.0,87.5,83.8
1989-03-31,103.9,91.8,87.0
1989-02-28,104.3,94.2,86.7
1989-01-31,105.8,100.3,86.7
1988-12-31,103.7,97.1,73.9
1988-11-30,100.4,94.3,82.2
1988-10-31,105.8,94.6,82.0
1988-09-30,106.1,93.3,91.4
1988-08-31,103.6,101.7,86.3
1988-07-31,99.6,93.0,86.6
1988-06-30,103.1,102.0,79.5
1988-05-31,104.2,95.4,84.7
1988-04-30,100.0,87.5,86.6
1988-03-31,103.5,98.9,80.0
1988-02-29,102.5,90.3,79.9
1988-01-31,98.3,93.6,80.1
1987-12-31,94.1,92.9,73.6
1987-11-30,91.7,86.6,70.8
1987-10-31,92.0,89.9,86.2
1987-09-30,104.1,95.4,82.6
1987-08-31,103.3,95.8,80.8
1987-07-31,103.0,97.8,80.2
1987-06-30,99.0,95.5,80.0
1987-05-31,99.5,92.8,82.1
1987-04-30,99.0,95.1,83.5
1987-03-31,106.4,89.3,77.7
1987-02-28,99.1,89.2,81.5
1987-01-31,99.9,91.2,78.4
1986-12-31,98.0,91.3,78.3
1986-11-30,99.5,94.2,80.4
1986-10-31,102.5,97.3,85.7
1986-09-30,106.3,92.4,76.1
1986-08-31,107.9,95.2,80.1
1986-07-31,108.2,98.6,84.5
1986-06-30,112.7,97.9,86.6
1986-05-31,104.9,99.9,78.3
1986-04-30,104.8,97.8,83.6
1986-03-31,109.1,96.0,82.0
1986-02-28,109.7,94.1,83.8
1986-01-31,105.5,99.4,80.8
1985-12-31,103.8,95.3,82.6
1985-11-30,101.1,93.5,79.3
1985-10-31,101.6,88.6,76.0
1985-09-30,103.7,89.6,82.8
1985-08-31,104.2,94.9,77.3
1985-07-31,104.4,93.7,84.8
1985-06-30,105.0,97.8,87.9
1985-05-31,103.2,87.9,84.6
1985-04-30,106.9,92.9,84.3
1985-03-31,104.7,94.7,82.0
1985-02-28,102.0,97.0,82.3
1985-01-31,104.2,99.0,86.6
1984-12-31,102.9,94.1,82.2
1984-11-30,105.5,94.0,88.1
1984-10-31,108.9,95.5,84.2
1984-09-30,108.5,99.9,93.3
1984-08-31,106.8,105.3,85.2
1984-07-31,104.9,98.2,87.1
1984-06-30,103.0,97.1,85.9
1984-05-31,107.5,98.8,86.6
1984-04-30,107.2,95.4,86.0
1984-03-31,109.9,105.2,86.6
1984-02-29,106.2,98.9,86.5
1984-01-31,107.9,106.0,87.4
1983-12-31,102.3,97.5,81.8
1983-11-30,97.2,94.6,80.7
1983-10-31,94.2,93.8,77.8
1983-09-30,94.8,94.5,80.9
1983-08-31,99.2,92.9,80.0
1983-07-31,106.0,93.6,83.0
1983-06-30,97.8,94.4,83.9
1983-05-31,97.2,97.1,84.9
1983-04-30,95.8,90.5,80.5
1983-03-31,84.9,81.5,75.5
1983-02-28,82.1,68.3,72.4
1983-01-31,78.8,70.0,62.0
1982-12-31,78.9,71.7,64.2
1982-11-30,76.6,75.7,63.8
1982-10-31,81.2,72.1,65.5
1982-09-30,73.0,66.7,68.0
1982-08-31,72.6,62.9,60.2
1982-07-31,73.4,63.3,60.6
1982-06-30,72.4,64.4,60.3
1982-05-31,72.7,67.6,62.0
1982-04-30,70.6,65.5,60.4
1982-03-31,65.5,61.4,58.8
1982-02-28,71.5,68.3,59.0
1982-01-31,76.6,67.4,68.5
1981-12-31,70.9,65.3,56.7
1981-11-30,70.6,58.9,57.0
1981-10-31,80.0,65.2,64.1
1981-09-30,80.7,68.1,68.5
1981-08-31,87.1,74.3,67.2
1981-07-31,83.5,69.9,66.9
1981-06-30,81.0,66.3,68.9
1981-05-31,87.0,70.5,69.3
1981-04-30,80.8,67.6,66.2
1981-03-31,76.6,63.2,57.7
1981-02-28,71.8,67.7,58.9
1981-01-31,76.5,69.5,67.2
1980-12-31,75.5,56.0,59.4
1980-11-30,84.6,72.8,69.6
1980-10-31,79.5,69.5,73.3
1980-09-30,77.9,72.7,68.7
1980-08-31,72.0,64.8,66.0
1980-07-31,69.9,58.1,58.8
1980-06-30,65.9,53.5,58.1
1980-05-31,62.8,46.6,43.4
1980-04-30,60.5,43.6,51.8
1980-03-31,61.4,56.2,50.7
1980-02-29,74.3,65.7,60.5
1980-01-31,75.5,63.1,61.6
1979-12-31,68.1,57.1,59.3
1979-11-30,70.8,60.7,57.3
1979-10-31,69.5,58.3,60.1
1979-09-30,71.5,66.8,63.2
1979-08-31,72.1,64.0,58.2
1979-07-31,67.7,60.9,54.1
1979-06-30,71.2,62.9,63.9
1979-05-31,74.6,65.3,64.1
1979-04-30,71.5,66.4,61.8
1979-03-31,77.9,64.7,63.3
1979-02-28,80.9,74.6,67.7
1979-01-31,82.7,70.6,63.2
1978-12-31,71.7,63.9,63.6
1978-11-30,82.5,73.3,69.0
1978-10-31,90.6,76.7,70.8
1978-09-30,86.6,83.9,72.1
1978-08-31,87.8,77.2,69.8
1978-07-31,92.2,78.4,77.4
1978-06-30,91.7,75.7,72.4
1978-05-31,95.1,78.9,74.5
1978-04-30,91.8,79.7,74.0
1978-03-31,91.7,76.8,68.8
1978-02-28,99.7,82.3,77.1
1978-01-31,93.7,86.7,75.0
